provider_id,total_claims,total_billed,avg_billed,std_billed,avg_minutes,unique_patients,unique_codes,max_billed,billed_days,claims_per_day,services_per_patient,billed_cv,max_daily_minutes,dup_rate,top_tier_share,code_entropy,pct_99213,pct_99214,pct_99215,pct_99232,pct_93000,pct_93005,pct_93010,pct_72148,pct_70553,pct_90837,pct_90834,pct_11100,pct_11101,pct_27447,pct_43239,spec_Cardiology,spec_Dermatology,spec_Family Medicine,spec_Psychiatry,spec_Radiology,spec_Surgery
PRV0035,0.018331021462620046,0.005749304117328418,-0.058881167892975185,-0.03140919449073221,-0.05455960576213497,0.030264385475143936,-0.03310831275971257,-0.062418973416093204,-0.015598907970905705,-0.0032552264258328884,-0.05081137203025379,0.0848214410474673,-0.08130801516714964,-0.030050968973877618,-0.0828439404721002,0.029442145786990302,0.008269804676027196,-7.259468117870263e-05,-0.07468735335430307,-0.05884817503400068,0.11667402580012363,0.01177817474225327,0.10088421606324108,-0.04841980884098603,-0.06284374220044328,-0.0710231584447309,-0.12060534096686633,-0.058204005673651055,-0.06382188922277005,-0.02774649611037937,-0.02903258984093337,0.20799522809290477,-0.07939146843798575,-0.059871305349878445,-0.087218838323911,-0.07463338304207275,-0.03753352653027071
PRV0037,-0.008150819199062685,-0.034306788249443436,0.0050217849868044746,-0.049640968766399285,0.009955861853335168,-0.020569980274878424,-0.13163251273123502,-0.056852047776067394,-0.04252014179592618,-0.010075088765345257,-0.03950776463704149,-0.05498869049301026,-0.06017483513213753,-0.02663626509068854,-0.006601482848189981,0.05753363219255929,0.04679898558871474,-0.10367753778422072,0.03150790121328927,0.051191305254829844,-0.06964988681525718,-0.05359668754066451,-0.06108076532871246,-0.057005780259917455,-0.07221466787817261,-0.08027371657733114,-0.12378820418126808,-0.06884526898232893,-0.06729272894845485,-0.035150361942348995,-0.02584519294404761,-0.14694832311865325,-0.08646060487818118,0.02784341312466903,-0.08609010229775685,-0.08093461610424085,-0.03925348334320661
PRV0039,-0.003930806795007199,-0.006346222889498641,-0.018307455210703497,-0.024046301236256614,0.03838897256547319,0.010476014077000686,-0.1374030830146365,-0.06115998343103668,0.1015653542214731,-0.01719637503913668,-0.043969607063855116,0.00116393489761358,-0.0599733393098651,-0.026664402680173366,0.052479252086989905,-0.04335758470597643,-0.032146845240124976,-0.10261712648965807,0.11630587602848953,-0.043400365303421624,-0.09893137274648418,-0.055844245395970986,-0.05322645417241909,-0.0565988302897926,-0.07615564851035259,-0.07887029963109715,-0.12527798080026323,-0.06511711981927887,-0.06922763911519314,-0.03205468374702341,-0.02635540000060903,-0.1694056241824954,-0.08453583555439789,0.04016169293211301,-0.10745564330131005,-0.07882245683754724,-0.03968674689447021
PRV0047,-0.014258560962831065,-0.04284348719245577,-0.06010422328592902,-0.03307751738975796,-0.0511162008779517,-0.022652722533346006,-0.02395207197137012,-0.0722208219130471,-0.02301629926642772,-0.031463203731811315,-0.04622311462122259,0.049159813319491534,-0.07922899402470812,-0.03205307155692465,-0.051368817066758825,-0.004137269862642737,-0.000629902078959194,-0.04766293484511846,-0.037522891135549644,-0.05987428636363659,0.08443420712585743,0.051452830838001666,0.007244005040463452,-0.04757245624308502,-0.06566192980072437,-0.07288151251287166,-0.12526108760229815,-0.05922065510965437,-0.06609392418529894,-0.02900053489318762,-0.026775141139494658,0.18017358877611497,-0.07804474380903001,-0.06634801562020497,-0.09086750965448462,-0.07649332746138245,-0.03964596707665261
PRV0071,-0.016598928747135585,-0.03553127364694837,-0.06319821487746147,-0.05638217294451725,-0.05678231046547729,-0.010856539427185839,-0.13975791950106584,-0.06616159163329355,-0.04935121599016724,-0.02684728244033109,-0.04921224898729388,-0.051280786238610786,-0.07385218219638927,-0.027703520688893705,-0.0867304002862639,-0.04866837035922369,-0.06530273669770183,-0.11646394432414643,-0.061448460029818734,-0.0585502564972946,-0.07848525465616352,-0.05455987984919689,-0.05945708532315313,-0.058527960466518876,-0.0777178883883251,-0.08247568781465886,-0.1331617473048618,-0.06851157442378622,-0.06946745226272727,-0.035972717384267786,-0.027759894426415174,-0.15535645111388335,-0.08708158635360029,-0.023768236027561188,-0.10281770691974004,-0.08290095338485734,-0.04141915925325048
PRV0073,-0.006193789138725719,-0.027170480527915833,-0.0032111240018501165,-0.007490943496171294,0.1535808634597174,0.00903567156021818,-0.06170468310619062,0.12837504191937754,-0.025137045330434704,-0.02356773823504634,-0.04243367525868323,-0.0010894028978258568,0.008162151849482815,-0.020304816259433766,0.11745341367267556,0.07332793550864679,0.03836468831744358,0.05552424462731872,0.056688182593649626,-0.015049580939082988,-0.05374820228155155,-0.04419446417469799,-0.035504068526296555,-0.04402979771522866,-0.04819146477022103,-0.045203363399718054,-0.11342840513921448,0.5906497621842871,0.5094395916172471,-0.027245684324449335,-0.022473843352923895,-0.12078899965598623,0.6456479892742574,-0.016509519007554905,-0.06711742837742403,-0.05097855326083118,-0.028515073633350606
PRV0076,0.009656444767863643,-0.002855738441777279,-0.079286944565536,-0.036110781232409316,-0.06015719767230899,-0.01643146341368999,-0.13668751159255055,0.02509619334635492,0.1380438671010242,-0.02005340061073867,-0.04432176365391613,-0.05451449092911784,-0.06860559493832515,-0.027573056750328347,-0.08802153349888502,-0.037309444003425625,-0.026275898311360023,-0.09303059533351729,-0.05928717568325926,-0.023781436261545094,-0.07965068976286709,-0.05554226350338427,-0.056723824988068675,-0.05800947205116289,-0.0744085179455824,-0.08017331160285272,-0.1346600283608289,-0.06918292147759943,-0.06886078227869981,-0.034365690127293964,-0.026630619713767706,-0.15316273496920577,-0.0879287462102559,-0.01006003661869245,-0.09841059911812333,-0.08274604969636981,-0.04140119726282278
PRV0083,0.008891815702144425,0.0009683158631743837,-0.0168305166175622,-0.0028297942278394856,0.1602313498584181,0.00456627645799969,-0.07403230277534711,0.1716433656061832,0.007867529127833929,-0.02678183930962854,-0.027242426536409625,0.01432058747462472,0.03661971662747657,-0.020267973565542472,0.04892645641802685,0.0398190915551421,0.04288516703490721,-0.021755024706759413,0.0605943757914517,-0.016467840243108905,-0.03499429446769681,-0.04032480600640092,-0.030863675665828264,-0.04557094287886114,-0.04760835701508127,-0.049421111574205666,-0.11198787922444413,0.4458996510849076,0.5798326739986993,-0.026451031705817744,-0.023505276357489984,-0.10393616483294611,0.6864644517721908,-0.026541285462378633,-0.07024014259343977,-0.05719219001731664,-0.02964975866052696
PRV0084,-0.006124684837857385,-0.025727415920528813,-0.004661677723706177,0.01022523406616899,0.08193342098533303,-0.020043730029128976,-0.13226099486623547,-0.052400921968176764,-0.05110625194160412,-0.016354666034253156,-0.03331346537657319,-0.059956005717389294,-0.00526431507444857,-0.026975143401577775,0.028170685525431793,0.01412737086778366,0.14861368358777383,-0.09535906867313669,-0.005956896994601436,-0.05263609700037536,-0.06947986843886675,-0.05098581489507431,-0.060099289313205864,-0.05290206001548881,-0.07370967308130096,-0.07388291175905361,-0.13013156500197923,-0.06678929465711189,-0.0657238520889239,-0.032712287797116026,-0.025852927222022034,-0.15002439471833703,-0.08133395657355669,0.045188263496723176,-0.08797741652075704,-0.07997268304249579,-0.04038737615759197
PRV0088,-0.02711482594451469,-0.04831564748511606,-0.07656854148922705,-0.001724430809689783,-0.04258133993053084,-0.040813182208724,-0.024549835775534615,-0.07148316937838167,-0.06089401343393296,-0.0137643475224421,-0.02731169371519403,0.02798169236859284,-0.07025367293532127,-0.02795439977295304,-0.06215626161940334,0.02455879185879861,-0.005252183499351217,-0.06333113919580606,-0.024650436347110966,-0.06986347712881769,0.14611461735361575,0.048258819494360373,0.04806092970369836,-0.04767875251125388,-0.06644189556842689,-0.06690851930741665,-0.12383852279055373,-0.057663602410476376,-0.06662248149771878,-0.028089066590358504,-0.03048080076444875,0.19189780694740427,-0.0801485630425185,-0.07414011623709031,-0.08642191457445395,-0.07955611263865171,-0.0386128534941021
